business_postal_code,population ,avg_income,inspection_id,inspection_date,inspection_score,risk_category,Neighborhoods,Current Police Districts
94105,2058,88976,28843_20190104,January,88.0,Moderate Risk,32.0,1.0
94105,2058,88976,60208_20170303,March,88.0,Low Risk,108.0,6.0
94105,2058,88976,3090_20191001,October,90.0,Low Risk,108.0,1.0
94105,2058,88976,3082_20161118,November,78.0,Low Risk,108.0,6.0
94105,2058,88976,3090_20190318,March,87.0,Low Risk,108.0,1.0
94105,2058,88976,24431_20180625,June,94.0,Low Risk,32.0,1.0
94105,2058,88976,4598_20180313,March,90.0,Low Risk,108.0,1.0
94105,2058,88976,18120_20180424,April,88.0,Low Risk,32.0,1.0
94105,2058,88976,1652_20180615,June,78.0,Low Risk,32.0,1.0
94105,2058,88976,36205_20190916,September,88.0,Moderate Risk,32.0,1.0
94105,2058,88976,2818_20190110,January,90.0,Low Risk,108.0,6.0
94105,2058,88976,39708_20190116,January,81.0,Low Risk,108.0,1.0
94105,2058,88976,1939_20190617,June,96.0,Low Risk,32.0,6.0
94105,2058,88976,7467_20180221,February,90.0,Low Risk,32.0,1.0
94105,2058,88976,36205_20170303,March,92.0,Moderate Risk,32.0,1.0
94105,2058,88976,34434_20170602,June,75.0,High Risk,32.0,1.0
94105,2058,88976,1649_20161206,December,98.0,Low Risk,32.0,1.0
94105,2058,88976,758_20190417,April,90.0,Low Risk,32.0,6.0
94105,2058,88976,28843_20190104,January,88.0,Low Risk,32.0,1.0
94105,2058,88976,18120_20180424,April,88.0,Moderate Risk,32.0,1.0
94105,2058,88976,36512_20190701,July,91.0,Low Risk,32.0,1.0
94105,2058,88976,34411_20180116,January,98.0,Low Risk,30.0,1.0
94105,2058,88976,61643_20190617,June,85.0,Moderate Risk,108.0,6.0
94105,2058,88976,4824_20190509,May,94.0,Moderate Risk,30.0,1.0
94105,2058,88976,38611_20181211,December,86.0,Moderate Risk,32.0,1.0
94105,2058,88976,39052_20170124,January,90.0,Low Risk,108.0,1.0
94105,2058,88976,9652_20170118,January,74.0,High Risk,32.0,1.0
94105,2058,88976,39708_20170620,June,80.0,High Risk,108.0,1.0
94105,2058,88976,15738_20190102,January,75.0,Moderate Risk,32.0,1.0
94105,2058,88976,2135_20170221,February,84.0,Moderate Risk,108.0,1.0
94105,2058,88976,3409_20180212,February,86.0,Moderate Risk,108.0,1.0
94105,2058,88976,3963_20170203,February,76.0,Moderate Risk,108.0,1.0
94105,2058,88976,1614_20171107,November,94.0,Low Risk,108.0,6.0
94105,2058,88976,409_20190103,January,66.0,Low Risk,32.0,1.0
94105,2058,88976,35592_20190729,July,87.0,High Risk,108.0,1.0
94105,2058,88976,28843_20170303,March,92.0,Low Risk,32.0,1.0
94105,2058,88976,1673_20170608,June,79.0,High Risk,108.0,1.0
94105,2058,88976,17689_20170216,February,70.0,Moderate Risk,32.0,1.0
94105,2058,88976,18120_20180424,April,88.0,Moderate Risk,32.0,1.0
94105,2058,88976,60208_20190226,February,87.0,Moderate Risk,108.0,6.0
94105,2058,88976,13623_20190625,June,90.0,Low Risk,32.0,1.0
94105,2058,88976,13623_20190625,June,90.0,Low Risk,32.0,1.0
94105,2058,88976,60475_20170331,March,92.0,Moderate Risk,108.0,1.0
94105,2058,88976,3082_20190403,April,83.0,Moderate Risk,108.0,6.0
94105,2058,88976,3859_20170328,March,90.0,Moderate Risk,32.0,1.0
94105,2058,88976,3090_20170718,July,85.0,High Risk,108.0,1.0
94105,2058,88976,9164_20180124,January,90.0,Low Risk,32.0,1.0
94105,2058,88976,1672_20190627,June,88.0,Moderate Risk,108.0,1.0
94105,2058,88976,2144_20171212,December,92.0,Low Risk,32.0,6.0
94105,2058,88976,64454_20181213,December,82.0,High Risk,108.0,6.0
94105,2058,88976,3032_20190228,February,98.0,Low Risk,32.0,1.0
94105,2058,88976,3728_20180323,March,92.0,Low Risk,32.0,1.0
94105,2058,88976,2996_20180425,April,85.0,Low Risk,30.0,1.0
94105,2058,88976,7534_20170224,February,92.0,Low Risk,108.0,6.0
94105,2058,88976,9164_20190513,May,92.0,Low Risk,32.0,1.0
94105,2058,88976,17689_20170216,February,70.0,Low Risk,32.0,1.0
